symbol,BSflag,dataIdx,volume
000155.SZ,B,883586,20
000155.SZ,B,1289467,20
000155.SZ,B,1700870,20
000155.SZ,S,1124,10
000155.SZ,S,233323,10
000155.SZ,S,455645,10
000155.SZ,S,669897,10
000155.SZ,S,883586,10
000155.SZ,S,1085377,10
000155.SZ,S,1289467,10
000155.SZ,S,1494213,10
000155.SZ,S,1700870,10
000155.SZ,S,1915090,10
000156.SZ,B,1111,20
000156.SZ,B,458370,20
000156.SZ,B,884019,20
000156.SZ,B,1289466,20
000156.SZ,B,1700871,20
000156.SZ,S,1111,10
000156.SZ,S,233765,10
000156.SZ,S,458370,10
000156.SZ,S,669896,10
000156.SZ,S,884019,10
000156.SZ,S,1085376,10
000156.SZ,S,1289466,10
000156.SZ,S,1494215,10
000156.SZ,S,1700871,10
000156.SZ,S,1914642,10
000400.SZ,B,1112,20
000400.SZ,B,455648,20
000400.SZ,B,883588,20
000400.SZ,B,1289471,20
000400.SZ,B,1700874,20
000400.SZ,S,1112,10
000400.SZ,S,233301,10
000400.SZ,S,455648,10
000400.SZ,S,669879,10
000400.SZ,S,883588,10
000400.SZ,S,1085375,10
000400.SZ,S,1289471,10
000400.SZ,S,1494218,10
000400.SZ,S,1700874,10
000400.SZ,S,1914649,10
000401.SZ,B,1109,20
000401.SZ,B,455647,20
000401.SZ,B,884026,20
000401.SZ,B,1289871,20
000401.SZ,B,1701321,20
000401.SZ,S,1109,10
000401.SZ,S,233325,10
000401.SZ,S,455647,10
000401.SZ,S,669864,10
000401.SZ,S,884026,10
000401.SZ,S,1085374,10
000401.SZ,S,1289871,10
000401.SZ,S,1494220,10
000401.SZ,S,1701321,10
000401.SZ,S,1914639,10
000402.SZ,B,1114,20
000402.SZ,B,455649,20
000402.SZ,B,883595,20
000402.SZ,B,1289460,20
000402.SZ,B,1700855,20
000402.SZ,S,1114,10
000402.SZ,S,233312,10
000402.SZ,S,455649,10
000402.SZ,S,669852,10
000402.SZ,S,883595,10
000402.SZ,S,1085672,10
000402.SZ,S,1289460,10
000402.SZ,S,1494205,10
000402.SZ,S,1700855,10
000402.SZ,S,1914650,10
000415.SZ,B,1108,20
000415.SZ,B,455654,20
000415.SZ,B,883590,20
000415.SZ,B,1289462,20
000415.SZ,B,1700856,20
000415.SZ,S,1108,10
000415.SZ,S,233314,10
000415.SZ,S,455654,10
000415.SZ,S,669854,10
000415.SZ,S,883590,10
000415.SZ,S,1085373,10
000415.SZ,S,1289462,10
000415.SZ,S,1494224,10
000415.SZ,S,1700856,10
000415.SZ,S,1914648,10
000513.SZ,B,1106,20
000513.SZ,B,455630,20
000513.SZ,B,883585,20
000513.SZ,B,1289464,20
000513.SZ,B,1700878,20
000513.SZ,S,1106,10
000513.SZ,S,233303,10
000513.SZ,S,455630,10
000513.SZ,S,669853,10
000513.SZ,S,883585,10
000513.SZ,S,1085371,10
000513.SZ,S,1289464,10
000513.SZ,S,1494204,10
000513.SZ,S,1700878,10
000513.SZ,S,1914640,10
000519.SZ,B,1107,20
000519.SZ,B,455650,20
000519.SZ,B,883591,20
000519.SZ,B,1289461,20
000519.SZ,B,1700877,20
000519.SZ,S,1107,10
000519.SZ,S,233302,10
000519.SZ,S,455650,10
000519.SZ,S,669855,10
000519.SZ,S,883591,10
000519.SZ,S,1085370,10
000519.SZ,S,1289461,10
000519.SZ,S,1494214,10
000519.SZ,S,1700877,10
000519.SZ,S,1914614,10
000537.SZ,B,1104,20
000537.SZ,B,455646,20
000537.SZ,B,883589,20
000537.SZ,B,1289473,20
000537.SZ,B,1700873,20
000537.SZ,S,1104,10
000537.SZ,S,233306,10
000537.SZ,S,455646,10
000537.SZ,S,669880,10
000537.SZ,S,883589,10
000537.SZ,S,1085372,10
000537.SZ,S,1289473,10
000537.SZ,S,1494202,10
000537.SZ,S,1700873,10
000537.SZ,S,1914616,10
000540.SZ,B,1105,20
000540.SZ,B,456056,20
000540.SZ,B,883596,20
000540.SZ,B,1289469,20
000540.SZ,B,1701300,20
000540.SZ,S,1105,10
000540.SZ,S,233305,10
000540.SZ,S,456056,10
000540.SZ,S,669857,10
000540.SZ,S,883596,10
000540.SZ,S,1085369,10
000540.SZ,S,1289469,10
000540.SZ,S,1495936,10
000540.SZ,S,1701300,10
000540.SZ,S,1914617,10
000547.SZ,B,1102,20
000547.SZ,B,455613,20
000547.SZ,B,883582,20
000547.SZ,B,1289463,20
000547.SZ,B,1700876,20
000547.SZ,S,1102,10
000547.SZ,S,233304,10
000547.SZ,S,455613,10
000547.SZ,S,669856,10
000547.SZ,S,883582,10
000547.SZ,S,1085368,10
000547.SZ,S,1289463,10
000547.SZ,S,1494203,10
000547.SZ,S,1700876,10
000547.SZ,S,1914613,10
000553.SZ,B,1101,20
000553.SZ,B,456060,20
000553.SZ,B,883602,20
000553.SZ,B,1289882,20
000553.SZ,B,1701716,20
000553.SZ,S,1101,10
000553.SZ,S,233300,10
000553.SZ,S,456060,10
000553.SZ,S,670715,10
000553.SZ,S,883602,10
000553.SZ,S,1085367,10
000553.SZ,S,1289882,10
000553.SZ,S,1494627,10
000553.SZ,S,1701716,10
000553.SZ,S,1915071,10
000559.SZ,B,1103,20
000559.SZ,B,455632,20
000559.SZ,B,884402,20
000559.SZ,B,1289474,20
000559.SZ,B,1700857,20
000559.SZ,S,1103,10
000559.SZ,S,233307,10
000559.SZ,S,455632,10
000559.SZ,S,671562,10
000559.SZ,S,884402,10
000559.SZ,S,1085350,10
000559.SZ,S,1289474,10
000559.SZ,S,1494182,10
000559.SZ,S,1700857,10
000559.SZ,S,1914615,10
000563.SZ,B,1100,20
000563.SZ,B,455631,20
000563.SZ,B,883594,20
000563.SZ,B,1289468,20
000563.SZ,B,1700854,20
000563.SZ,S,1100,10
000563.SZ,S,233309,10
000563.SZ,S,455631,10
000563.SZ,S,670718,10
000563.SZ,S,883594,10
000563.SZ,S,1085380,10
000563.SZ,S,1289468,10
000563.SZ,S,1494181,10
000563.SZ,S,1700854,10
000563.SZ,S,1914619,10
000581.SZ,B,1099,20
000581.SZ,B,459292,20
000581.SZ,B,883597,20
000581.SZ,B,1290301,20
000581.SZ,B,1700875,20
000581.SZ,S,1099,10
000581.SZ,S,233317,10
000581.SZ,S,459292,10
000581.SZ,S,671563,10
000581.SZ,S,883597,10
000581.SZ,S,1085366,10
000581.SZ,S,1290301,10
000581.SZ,S,1495056,10
000581.SZ,S,1700875,10
000581.SZ,S,1915963,10
000591.SZ,B,1098,20
000591.SZ,B,455600,20
000591.SZ,B,883579,20
000591.SZ,B,1289477,20
000591.SZ,B,1700823,20
000591.SZ,S,1098,10
000591.SZ,S,233324,10
000591.SZ,S,455600,10
000591.SZ,S,669860,10
000591.SZ,S,883579,10
000591.SZ,S,1085364,10
000591.SZ,S,1289477,10
000591.SZ,S,1494184,10
000591.SZ,S,1700823,10
000591.SZ,S,1914618,10
000598.SZ,B,951,20
000598.SZ,B,455606,20
000598.SZ,B,884407,20
000598.SZ,B,1289465,20
000598.SZ,B,1700824,20
000598.SZ,S,951,10
000598.SZ,S,233320,10
000598.SZ,S,455606,10
000598.SZ,S,669861,10
000598.SZ,S,884407,10
000598.SZ,S,1085363,10
000598.SZ,S,1289465,10
000598.SZ,S,1494185,10
000598.SZ,S,1700824,10
000598.SZ,S,1914621,10
000623.SZ,B,1121,20
000623.SZ,B,456528,20
000623.SZ,B,883989,20
000623.SZ,B,1289434,20
000623.SZ,B,1700852,20
000623.SZ,S,1121,10
000623.SZ,S,233322,10
000623.SZ,S,456528,10
000623.SZ,S,669862,10
000623.SZ,S,883989,10
000623.SZ,S,1085362,10
000623.SZ,S,1289434,10
000623.SZ,S,1494183,10
000623.SZ,S,1700852,10
000623.SZ,S,1914622,10
000629.SZ,B,949,20
000629.SZ,B,455601,20
000629.SZ,B,883554,20
000629.SZ,B,1289458,20
000629.SZ,B,1700851,20
000629.SZ,S,949,10
000629.SZ,S,233319,10
000629.SZ,S,455601,10
000629.SZ,S,669859,10
000629.SZ,S,883554,10
000629.SZ,S,1085361,10
000629.SZ,S,1289458,10
000629.SZ,S,1494186,10
000629.SZ,S,1700851,10
000629.SZ,S,1914620,10
000636.SZ,B,864,20
000636.SZ,B,455607,20
000636.SZ,B,883555,20
000636.SZ,B,1289457,20
000636.SZ,B,1700822,20
000636.SZ,S,864,10
000636.SZ,S,233318,10
000636.SZ,S,455607,10
000636.SZ,S,669863,10
000636.SZ,S,883555,10
000636.SZ,S,1085360,10
000636.SZ,S,1289457,10
000636.SZ,S,1494188,10
000636.SZ,S,1700822,10
000636.SZ,S,1915513,10
000656.SZ,B,786,20
000656.SZ,B,455608,20
000656.SZ,B,883557,20
000656.SZ,B,1289432,20
000656.SZ,B,1700825,20
000656.SZ,S,786,10
000656.SZ,S,233282,10
000656.SZ,S,455608,10
000656.SZ,S,669865,10
000656.SZ,S,883557,10
000656.SZ,S,1085359,10
000656.SZ,S,1289432,10
000656.SZ,S,1494190,10
000656.SZ,S,1700825,10
000656.SZ,S,1914623,10
000683.SZ,B,799,20
000683.SZ,B,455609,20
000683.SZ,B,883994,20
000683.SZ,B,1289433,20
000683.SZ,B,1700853,20
000683.SZ,S,799,10
000683.SZ,S,233269,10
000683.SZ,S,455609,10
000683.SZ,S,669878,10
000683.SZ,S,883994,10
000683.SZ,S,1085355,10
000683.SZ,S,1289433,10
000683.SZ,S,1494191,10
000683.SZ,S,1700853,10
000683.SZ,S,1914624,10
000703.SZ,B,798,20
000703.SZ,B,455610,20
000703.SZ,B,883558,20
000703.SZ,B,1289435,20
000703.SZ,B,1700828,20
000703.SZ,S,798,10
000703.SZ,S,233272,10
000703.SZ,S,455610,10
000703.SZ,S,669867,10
000703.SZ,S,883558,10
000703.SZ,S,1085354,10
000703.SZ,S,1289435,10
000703.SZ,S,1494192,10
000703.SZ,S,1700828,10
000703.SZ,S,1914628,10
000709.SZ,B,797,20
000709.SZ,B,455612,20
000709.SZ,B,883559,20
000709.SZ,B,1289437,20
000709.SZ,B,1700829,20
000709.SZ,S,797,10
000709.SZ,S,233273,10
000709.SZ,S,455612,10
000709.SZ,S,669868,10
000709.SZ,S,883559,10
000709.SZ,S,1085353,10
000709.SZ,S,1289437,10
000709.SZ,S,1494193,10
000709.SZ,S,1700829,10
000709.SZ,S,1914629,10
000728.SZ,B,800,20
000728.SZ,B,455614,20
000728.SZ,B,883562,20
000728.SZ,B,1289459,20
000728.SZ,B,1700827,20
000728.SZ,S,800,10
000728.SZ,S,233299,10
000728.SZ,S,455614,10
000728.SZ,S,669866,10
000728.SZ,S,883562,10
000728.SZ,S,1085356,10
000728.SZ,S,1289459,10
000728.SZ,S,1494196,10
000728.SZ,S,1700827,10
000728.SZ,S,1914627,10
000729.SZ,B,796,20
000729.SZ,B,455616,20
000729.SZ,B,883563,20
000729.SZ,B,1289438,20
000729.SZ,B,1700830,20
000729.SZ,S,796,10
000729.SZ,S,233275,10
000729.SZ,S,455616,10
000729.SZ,S,669870,10
000729.SZ,S,883563,10
000729.SZ,S,1085365,10
000729.SZ,S,1289438,10
000729.SZ,S,1494194,10
000729.SZ,S,1700830,10
000729.SZ,S,1914631,10
000738.SZ,B,792,20
000738.SZ,B,455618,20
000738.SZ,B,883553,20
000738.SZ,B,1291162,20
000738.SZ,B,1700831,20
000738.SZ,S,792,10
000738.SZ,S,233271,10
000738.SZ,S,455618,10
000738.SZ,S,669869,10
000738.SZ,S,883553,10
000738.SZ,S,1085352,10
000738.SZ,S,1291162,10
000738.SZ,S,1494198,10
000738.SZ,S,1700831,10
000738.SZ,S,1914630,10
000739.SZ,B,795,20
000739.SZ,B,455617,20
000739.SZ,B,883564,20
000739.SZ,B,1289441,20
000739.SZ,B,1700832,20
000739.SZ,S,795,10
000739.SZ,S,233276,10
000739.SZ,S,455617,10
000739.SZ,S,670305,10
000739.SZ,S,883564,10
000739.SZ,S,1085382,10
000739.SZ,S,1289441,10
000739.SZ,S,1494197,10
000739.SZ,S,1700832,10
000739.SZ,S,1914633,10
000750.SZ,B,790,20
000750.SZ,B,455619,20
000750.SZ,B,883566,20
000750.SZ,B,1289439,20
000750.SZ,B,1700835,20
000750.SZ,S,790,10
000750.SZ,S,233274,10
000750.SZ,S,455619,10
000750.SZ,S,669873,10
000750.SZ,S,883566,10
000750.SZ,S,1085383,10
000750.SZ,S,1289439,10
000750.SZ,S,1494176,10
000750.SZ,S,1700835,10
000750.SZ,S,1914634,10
000778.SZ,B,791,20
000778.SZ,B,455622,20
000778.SZ,B,883561,20
000778.SZ,B,1289440,20
000778.SZ,B,1701317,20
000778.SZ,S,791,10
000778.SZ,S,233279,10
000778.SZ,S,455622,10
000778.SZ,S,670301,10
000778.SZ,S,883561,10
000778.SZ,S,1085410,10
000778.SZ,S,1289440,10
000778.SZ,S,1494199,10
000778.SZ,S,1701317,10
000778.SZ,S,1914612,10
000783.SZ,B,794,20
000783.SZ,B,455620,20
000783.SZ,B,884420,20
000783.SZ,B,1289442,20
000783.SZ,B,1701283,20
000783.SZ,S,794,10
000783.SZ,S,233277,10
000783.SZ,S,455620,10
000783.SZ,S,669871,10
000783.SZ,S,884420,10
000783.SZ,S,1085397,10
000783.SZ,S,1289442,10
000783.SZ,S,1494195,10
000783.SZ,S,1701283,10
000783.SZ,S,1914638,10
000785.SZ,B,793,20
000785.SZ,B,455621,20
000785.SZ,B,883565,20
000785.SZ,B,1289443,20
000785.SZ,B,1700833,20
000785.SZ,S,793,10
000785.SZ,S,233281,10
000785.SZ,S,455621,10
000785.SZ,S,669872,10
000785.SZ,S,883565,10
000785.SZ,S,1085411,10
000785.SZ,S,1289443,10
000785.SZ,S,1494189,10
000785.SZ,S,1700833,10
000785.SZ,S,1914610,10
000807.SZ,B,789,20
000807.SZ,B,455623,20
000807.SZ,B,883567,20
000807.SZ,B,1289445,20
000807.SZ,B,1700834,20
000807.SZ,S,789,10
000807.SZ,S,233280,10
000807.SZ,S,455623,10
000807.SZ,S,669874,10
000807.SZ,S,883567,10
000807.SZ,S,1085409,10
000807.SZ,S,1289445,10
000807.SZ,S,1494200,10
000807.SZ,S,1700834,10
000807.SZ,S,1914632,10
000825.SZ,B,788,20
000825.SZ,B,456536,20
000825.SZ,B,884403,20
000825.SZ,B,1289446,20
000825.SZ,B,1700837,20
000825.SZ,S,788,10
000825.SZ,S,233287,10
000825.SZ,S,456536,10
000825.SZ,S,670309,10
000825.SZ,S,884403,10
000825.SZ,S,1085403,10
000825.SZ,S,1289446,10
000825.SZ,S,1494645,10
000825.SZ,S,1700837,10
000825.SZ,S,1915067,10
000830.SZ,B,787,20
000830.SZ,B,455624,20
000830.SZ,B,883568,20
000830.SZ,B,1290280,20
000830.SZ,B,1700836,20
000830.SZ,S,787,10
000830.SZ,S,233283,10
000830.SZ,S,455624,10
000830.SZ,S,669875,10
000830.SZ,S,883568,10
000830.SZ,S,1085408,10
000830.SZ,S,1290280,10
000830.SZ,S,1494229,10
000830.SZ,S,1700836,10
000830.SZ,S,1914626,10
000831.SZ,B,785,20
000831.SZ,B,455625,20
000831.SZ,B,883569,20
000831.SZ,B,1289444,20
000831.SZ,B,1700838,20
000831.SZ,S,785,10
000831.SZ,S,233297,10
000831.SZ,S,455625,10
000831.SZ,S,669876,10
000831.SZ,S,883569,10
000831.SZ,S,1085407,10
000831.SZ,S,1289444,10
000831.SZ,S,1494226,10
000831.SZ,S,1700838,10
000831.SZ,S,1914625,10
000869.SZ,B,784,20
000869.SZ,B,455626,20
000869.SZ,B,883570,20
000869.SZ,B,1289860,20
000869.SZ,B,1700839,20
000869.SZ,S,784,10
000869.SZ,S,233288,10
000869.SZ,S,455626,10
000869.SZ,S,669877,10
000869.SZ,S,883570,10
000869.SZ,S,1085406,10
000869.SZ,S,1289860,10
000869.SZ,S,1495497,10
000869.SZ,S,1700839,10
000869.SZ,S,1916405,10
000878.SZ,B,783,20
000878.SZ,B,455628,20
000878.SZ,B,883572,20
000878.SZ,B,1289448,20
000878.SZ,B,1700840,20
000878.SZ,S,783,10
000878.SZ,S,233289,10
000878.SZ,S,455628,10
000878.SZ,S,669775,10
000878.SZ,S,883572,10
000878.SZ,S,1085405,10
000878.SZ,S,1289448,10
000878.SZ,S,1494225,10
000878.SZ,S,1700840,10
000878.SZ,S,1914636,10
000883.SZ,B,782,20
000883.SZ,B,455599,20
000883.SZ,B,883573,20
000883.SZ,B,1289449,20
000883.SZ,B,1700841,20
000883.SZ,S,782,10
000883.SZ,S,233290,10
000883.SZ,S,455599,10
000883.SZ,S,669796,10
000883.SZ,S,883573,10
000883.SZ,S,1085404,10
000883.SZ,S,1289449,10
000883.SZ,S,1494221,10
000883.SZ,S,1700841,10
000883.SZ,S,1914637,10
000887.SZ,B,781,20
000887.SZ,B,455659,20
000887.SZ,B,883571,20
000887.SZ,B,1289447,20
000887.SZ,B,1700843,20
000887.SZ,S,781,10
000887.SZ,S,233291,10
000887.SZ,S,455659,10
000887.SZ,S,669773,10
000887.SZ,S,883571,10
000887.SZ,S,1085401,10
000887.SZ,S,1289447,10
000887.SZ,S,1494230,10
000887.SZ,S,1700843,10
000887.SZ,S,1914611,10
000898.SZ,B,780,20
000898.SZ,B,455627,20
000898.SZ,B,884404,20
000898.SZ,B,1290278,20
000898.SZ,B,1701286,20
000898.SZ,S,780,10
000898.SZ,S,233293,10
000898.SZ,S,455627,10
000898.SZ,S,671150,10
000898.SZ,S,884404,10
000898.SZ,S,1085402,10
000898.SZ,S,1290278,10
000898.SZ,S,1494222,10
000898.SZ,S,1701286,10
000898.SZ,S,1914917,10
000930.SZ,B,950,20
000930.SZ,B,455602,20
000930.SZ,B,884009,20
000930.SZ,B,1289850,20
000930.SZ,B,1700845,20
000930.SZ,S,950,10
000930.SZ,S,233295,10
000930.SZ,S,455602,10
000930.SZ,S,669676,10
000930.SZ,S,884009,10
000930.SZ,S,1085400,10
000930.SZ,S,1289850,10
000930.SZ,S,1495521,10
000930.SZ,S,1700845,10
000930.SZ,S,1914873,10
000932.SZ,B,779,20
000932.SZ,B,455603,20
000932.SZ,B,883574,20
000932.SZ,B,1289450,20
000932.SZ,B,1700743,20
000932.SZ,S,779,10
000932.SZ,S,233294,10
000932.SZ,S,455603,10
000932.SZ,S,670704,10
000932.SZ,S,883574,10
000932.SZ,S,1085412,10
000932.SZ,S,1289450,10
000932.SZ,S,1494101,10
000932.SZ,S,1700743,10
000932.SZ,S,1914646,10
000937.SZ,B,777,20
000937.SZ,B,455658,20
000937.SZ,B,883575,20
000937.SZ,B,1289452,20
000937.SZ,B,1700844,20
000937.SZ,S,777,10
000937.SZ,S,233190,10
000937.SZ,S,455658,10
000937.SZ,S,669735,10
000937.SZ,S,883575,10
000937.SZ,S,1085399,10
000937.SZ,S,1289452,10
000937.SZ,S,1494211,10
000937.SZ,S,1700844,10
000937.SZ,S,1914645,10
000960.SZ,B,802,20
000960.SZ,B,455615,20
000960.SZ,B,883576,20
000960.SZ,B,1289453,20
000960.SZ,B,1700847,20
000960.SZ,S,802,10
000960.SZ,S,233296,10
000960.SZ,S,455615,10
000960.SZ,S,669674,10
000960.SZ,S,883576,10
000960.SZ,S,1085398,10
000960.SZ,S,1289453,10
000960.SZ,S,1494179,10
000960.SZ,S,1700847,10
000960.SZ,S,1914643,10
000961.SZ,B,804,20
000961.SZ,B,455516,20
000961.SZ,B,883577,20
000961.SZ,B,1289454,20
000961.SZ,B,1700848,20
000961.SZ,S,804,10
000961.SZ,S,233189,10
000961.SZ,S,455516,10
000961.SZ,S,669675,10
000961.SZ,S,883577,10
000961.SZ,S,1085396,10
000961.SZ,S,1289454,10
000961.SZ,S,1494099,10
000961.SZ,S,1700848,10
000961.SZ,S,1914644,10
000967.SZ,B,778,20
000967.SZ,B,455459,20
000967.SZ,B,883578,20
000967.SZ,B,1289455,20
000967.SZ,B,1700846,20
000967.SZ,S,778,10
000967.SZ,S,233134,10
000967.SZ,S,455459,10
000967.SZ,S,669677,10
000967.SZ,S,883578,10
000967.SZ,S,1085395,10
000967.SZ,S,1289455,10
000967.SZ,S,1494879,10
000967.SZ,S,1700846,10
000967.SZ,S,1914526,10
000987.SZ,B,828,20
000987.SZ,B,455415,20
000987.SZ,B,883475,20
000987.SZ,B,1289456,20
000987.SZ,B,1700739,20
000987.SZ,S,828,10
000987.SZ,S,234125,10
000987.SZ,S,455415,10
000987.SZ,S,670105,10
000987.SZ,S,883475,10
000987.SZ,S,1085392,10
000987.SZ,S,1289456,10
000987.SZ,S,1494538,10
000987.SZ,S,1700739,10
000987.SZ,S,1914425,10
000988.SZ,B,805,20
000988.SZ,B,455651,20
000988.SZ,B,884712,20
000988.SZ,B,1289381,20
000988.SZ,B,1700849,20
000988.SZ,S,805,10
000988.SZ,S,233089,10
000988.SZ,S,455651,10
000988.SZ,S,669678,10
000988.SZ,S,884712,10
000988.SZ,S,1085394,10
000988.SZ,S,1289381,10
000988.SZ,S,1494004,10
000988.SZ,S,1700849,10
000988.SZ,S,1914585,10
000990.SZ,B,830,20
000990.SZ,B,455653,20
000990.SZ,B,883425,20
000990.SZ,B,1289357,20
000990.SZ,B,1700850,20
000990.SZ,S,830,10
000990.SZ,S,234067,10
000990.SZ,S,455653,10
000990.SZ,S,669679,10
000990.SZ,S,883425,10
000990.SZ,S,1085393,10
000990.SZ,S,1289357,10
000990.SZ,S,1494003,10
000990.SZ,S,1700850,10
000990.SZ,S,1914524,10
000997.SZ,B,829,20
000997.SZ,B,456322,20
000997.SZ,B,883379,20
000997.SZ,B,1289865,20
000997.SZ,B,1701530,20
000997.SZ,S,829,10
000997.SZ,S,233550,10
000997.SZ,S,456322,10
000997.SZ,S,670947,10
000997.SZ,S,883379,10
000997.SZ,S,1085390,10
000997.SZ,S,1289865,10
000997.SZ,S,1494002,10
000997.SZ,S,1701530,10
000997.SZ,S,1914470,10
000998.SZ,B,831,20
000998.SZ,B,455412,20
000998.SZ,B,883477,20
000998.SZ,B,1289359,20
000998.SZ,B,1700768,20
000998.SZ,S,831,10
000998.SZ,S,233090,10
000998.SZ,S,455412,10
000998.SZ,S,669682,10
000998.SZ,S,883477,10
000998.SZ,S,1085388,10
000998.SZ,S,1289359,10
000998.SZ,S,1494000,10
000998.SZ,S,1700768,10
000998.SZ,S,1914426,10
000999.SZ,B,826,20
000999.SZ,B,455413,20
000999.SZ,B,883374,20
000999.SZ,B,1289344,20
000999.SZ,B,1700742,20
000999.SZ,S,826,10
000999.SZ,S,233088,10
000999.SZ,S,455413,10
000999.SZ,S,669680,10
000999.SZ,S,883374,10
000999.SZ,S,1085389,10
000999.SZ,S,1289344,10
000999.SZ,S,1494001,10
000999.SZ,S,1700742,10
000999.SZ,S,1914427,10
001203.SZ,B,827,20
001203.SZ,B,455414,20
001203.SZ,B,883476,20
001203.SZ,B,1289877,20
001203.SZ,B,1700648,20
001203.SZ,S,827,10
001203.SZ,S,233087,10
001203.SZ,S,455414,10
001203.SZ,S,669681,10
001203.SZ,S,883476,10
001203.SZ,S,1085391,10
001203.SZ,S,1289877,10
001203.SZ,S,1494046,10
001203.SZ,S,1700648,10
001203.SZ,S,1914424,10
001872.SZ,B,823,20
001872.SZ,B,455409,20
001872.SZ,B,883818,20
001872.SZ,B,1290283,20
001872.SZ,B,1702405,20
001872.SZ,S,823,10
001872.SZ,S,234491,10
001872.SZ,S,455409,10
001872.SZ,S,670103,10
001872.SZ,S,883818,10
